#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iDzF3iMinusF4iDzF4i.real 	 TraceF3iDzF3iMinusF4iDzF4i.imag 	 AvgTraceF3iDzF3iMinusF4iDzF4i.real 	 AvgTraceF3iDzF3iMinusF4iDzF4i.imag 	 TraceF4iDzF3iPlusF3iDzF4i.real 	 TraceF4iDzF3iPlusF3iDzF4i.imag 	 AvgTraceF4iDzF3iPlusF3iDzF4i.real 	 AvgTraceF4iDzF3iPlusF3iDzF4i.imag 
68 	 -1.421843e-02 	 8.157002e-04 	 -3.856802e-02 	 -4.604074e-05 	 -3.373946e-04 	 -4.069720e-04 	 4.010243e-04 	 8.811297e-05 
69 	 -1.237665e-02 	 1.923851e-03 	 -3.818843e-02 	 -1.749159e-05 	 -2.545359e-03 	 1.322422e-03 	 3.583231e-04 	 1.060015e-04 
70 	 -1.313346e-02 	 1.090664e-05 	 -3.783050e-02 	 -1.708590e-05 	 -1.522978e-03 	 1.080937e-03 	 3.314474e-04 	 1.199292e-04 
71 	 -1.516485e-02 	 1.201276e-03 	 -3.751127e-02 	 7.412105e-08 	 -5.544818e-04 	 1.223681e-03 	 3.189695e-04 	 1.354749e-04 
72 	 -1.516485e-02 	 1.201276e-03 	 -3.720090e-02 	 1.675747e-05 	 -5.544818e-04 	 1.223681e-03 	 3.068382e-04 	 1.505889e-04 
73 	 -1.367812e-02 	 1.085385e-04 	 -3.687867e-02 	 1.801475e-05 	 -2.242615e-03 	 6.975964e-04 	 2.719142e-04 	 1.580822e-04 
74 	 -9.992802e-03 	 1.078598e-03 	 -3.651535e-02 	 3.234696e-05 	 4.943034e-05 	 -1.454808e-03 	 2.689077e-04 	 1.362864e-04 
75 	 -1.159891e-02 	 -8.278870e-05 	 -3.618313e-02 	 3.081182e-05 	 3.746640e-05 	 2.458710e-04 	 2.658218e-04 	 1.377475e-04 
76 	 -9.895656e-03 	 1.076112e-03 	 -3.583724e-02 	 4.456577e-05 	 -1.498172e-03 	 -1.704907e-03 	 2.426114e-04 	 1.135020e-04 
77 	 -6.525607e-03 	 -2.269122e-04 	 -3.545657e-02 	 4.104009e-05 	 -1.018652e-03 	 3.534656e-04 	 2.262313e-04 	 1.166184e-04 
78 	 -7.491116e-03 	 -1.511719e-03 	 -3.509804e-02 	 2.113292e-05 	 3.436353e-04 	 -9.143918e-04 	 2.277365e-04 	 1.034004e-04 
79 	 -8.662000e-03 	 -7.533324e-04 	 -3.476341e-02 	 1.132956e-05 	 3.718038e-03 	 -2.878181e-04 	 2.719175e-04 	 9.844822e-05 
80 	 -1.057279e-02 	 -4.816562e-04 	 -3.446102e-02 	 5.167239e-06 	 3.645859e-03 	 -1.161725e-03 	 3.140918e-04 	 8.269606e-05 
