#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
62 	 4.215833e-03 	 1.225738e-19 	 4.125981e-03 	 -2.205553e-20 	 2.508305e-03 	 1.486956e-19 	 -2.817358e-04 	 -1.829221e-20 
63 	 6.027564e-03 	 -4.469102e-20 	 4.156165e-03 	 -2.241483e-20 	 3.620690e-03 	 7.817436e-20 	 -2.197926e-04 	 -1.676099e-20 
64 	 6.322053e-03 	 3.629490e-19 	 4.190007e-03 	 -1.639352e-20 	 3.910113e-04 	 1.349752e-19 	 -2.102488e-04 	 -1.439011e-20 
65 	 7.068474e-03 	 -4.460201e-20 	 4.234291e-03 	 -1.682749e-20 	 -4.126720e-03 	 -2.922272e-19 	 -2.705022e-04 	 -1.866453e-20 
66 	 3.433868e-03 	 2.770890e-19 	 4.222163e-03 	 -1.237421e-20 	 -1.722095e-03 	 5.214174e-20 	 -2.924960e-04 	 -1.759171e-20 
67 	 -2.518594e-03 	 -1.416545e-19 	 4.121555e-03 	 -1.430377e-20 	 5.644043e-04 	 3.633784e-20 	 -2.797064e-04 	 -1.678679e-20 
68 	 6.643677e-03 	 -6.760406e-20 	 4.158645e-03 	 -1.508760e-20 	 1.609554e-03 	 -2.251995e-19 	 -2.519232e-04 	 -1.985168e-20 
69 	 3.959632e-03 	 1.447818e-19 	 4.155761e-03 	 -1.277065e-20 	 -1.239392e-03 	 1.488441e-19 	 -2.662343e-04 	 -1.740682e-20 
70 	 3.596513e-03 	 5.225885e-19 	 4.147772e-03 	 -5.122662e-21 	 -1.772460e-03 	 -7.210368e-20 	 -2.877518e-04 	 -1.818820e-20 
71 	 8.109653e-03 	 2.322831e-19 	 4.203573e-03 	 -1.778919e-21 	 3.688036e-03 	 1.178302e-19 	 -2.317548e-04 	 -1.627245e-20 
72 	 8.109653e-03 	 2.322831e-19 	 4.257824e-03 	 1.471942e-21 	 3.688036e-03 	 1.178302e-19 	 -1.773133e-04 	 -1.440991e-20 
73 	 9.858352e-03 	 1.143742e-19 	 4.334543e-03 	 3.018548e-21 	 3.225874e-03 	 -3.633767e-19 	 -1.306943e-04 	 -1.919028e-20 
74 	 9.959700e-03 	 -4.158702e-20 	 4.410559e-03 	 2.415770e-21 	 3.388330e-03 	 -1.589994e-19 	 -8.313989e-05 	 -2.107959e-20 
75 	 7.179028e-03 	 1.103813e-19 	 4.447472e-03 	 3.855310e-21 	 6.218656e-03 	 -1.560625e-19 	 8.840522e-07 	 -2.287936e-20 
76 	 1.029478e-02 	 -4.513931e-20 	 4.524410e-03 	 3.210644e-21 	 3.268297e-03 	 3.563697e-19 	 4.387632e-05 	 -1.788924e-20 
77 	 9.980030e-03 	 1.180529e-19 	 4.595262e-03 	 4.702102e-21 	 2.134382e-03 	 2.366901e-19 	 7.102575e-05 	 -1.458302e-20 
