#Beta=5.440000e+00, Nt=6, Ns=12^3 
#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
86 	 -3.382002e-02 	 -2.626982e-18 	 -7.938145e-04 	 -9.569512e-20 	 -3.653441e-02 	 7.897275e-20 	 2.874370e-02 	 2.866614e-19 
87 	 2.885315e-03 	 -2.062369e-18 	 -7.515257e-04 	 -1.183006e-19 	 -2.885793e-02 	 -2.839338e-19 	 2.808161e-02 	 2.801029e-19 
88 	 5.476069e-03 	 8.239100e-18 	 -6.807576e-04 	 -2.333011e-20 	 -3.042732e-02 	 -8.368769e-18 	 2.741674e-02 	 1.818202e-19 
89 	 3.876045e-02 	 8.990902e-19 	 -2.375980e-04 	 -1.296584e-20 	 -4.692329e-02 	 -8.488400e-18 	 2.658146e-02 	 8.440203e-20 
90 	 6.734137e-02 	 6.881558e-18 	 5.132795e-04 	 6.363998e-20 	 -5.026283e-02 	 -4.491073e-18 	 2.572763e-02 	 3.356342e-20 
91 	 7.024499e-02 	 -3.683443e-19 	 1.279562e-03 	 5.889290e-20 	 -2.118859e-02 	 5.080859e-18 	 2.521207e-02 	 8.902821e-20 
92 	 1.618583e-02 	 1.927987e-18 	 1.441587e-03 	 7.920915e-20 	 -1.789470e-02 	 -9.874940e-19 	 2.474352e-02 	 7.732688e-20 
93 	 6.525312e-02 	 -3.429906e-18 	 2.127732e-03 	 4.147673e-20 	 -4.196248e-02 	 5.167361e-18 	 2.402625e-02 	 1.320584e-19 
94 	 8.290377e-02 	 -1.114776e-18 	 2.987052e-03 	 2.917616e-20 	 -2.014259e-02 	 -4.696536e-18 	 2.355637e-02 	 8.069040e-20 
95 	 5.225527e-02 	 -2.001194e-18 	 3.505665e-03 	 7.803845e-21 	 1.523081e-02 	 1.753965e-18 	 2.346873e-02 	 9.830381e-20 
96 	 4.768895e-02 	 4.925183e-19 	 3.965907e-03 	 1.285295e-20 	 3.823431e-02 	 8.352372e-19 	 2.362254e-02 	 1.059802e-19 
97 	 4.288660e-02 	 1.847721e-18 	 4.367151e-03 	 3.176912e-20 	 5.036697e-02 	 5.900201e-18 	 2.389825e-02 	 1.657144e-19 
