#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 
172 	 1.048577e-01 	 -2.545548e-18 	 -2.761931e-02 	 1.927471e-18 
173 	 1.064338e-01 	 -7.820101e-19 	 4.865573e-03 	 1.202661e-18 
174 	 9.871854e-02 	 1.060830e-18 	 -1.122274e-02 	 6.076886e-19 
175 	 1.065197e-01 	 1.535849e-19 	 -3.713729e-03 	 -6.070194e-18 
176 	 7.398880e-02 	 2.351071e-18 	 -1.060268e-02 	 -4.646007e-18 
177 	 8.688984e-02 	 1.027684e-18 	 -1.416515e-02 	 5.702100e-19 
178 	 8.688984e-02 	 1.027684e-18 	 -1.416515e-02 	 5.702100e-19 
179 	 8.751446e-02 	 1.867373e-18 	 3.654746e-03 	 -1.034677e-18 
180 	 8.751446e-02 	 1.867373e-18 	 3.654746e-03 	 -1.034677e-18 
181 	 5.525918e-02 	 5.612294e-18 	 -1.194417e-03 	 -3.303470e-18 
182 	 5.525918e-02 	 5.612294e-18 	 -1.194417e-03 	 -3.303470e-18 
183 	 7.677308e-02 	 -2.135778e-19 	 1.399530e-02 	 -2.013136e-18 
184 	 4.791685e-02 	 2.173293e-18 	 -1.942899e-02 	 2.336389e-18 
185 	 6.961018e-03 	 -3.074792e-18 	 2.143915e-02 	 -1.837120e-18 
186 	 2.671685e-02 	 -1.066919e-18 	 2.493506e-02 	 -3.113400e-18 
187 	 1.276539e-02 	 2.006650e-18 	 5.139651e-02 	 -2.856404e-18 
188 	 2.749570e-02 	 -1.240140e-18 	 6.992344e-02 	 1.163259e-18 
189 	 2.749570e-02 	 -1.240140e-18 	 6.992344e-02 	 1.163259e-18 
190 	 7.317930e-02 	 4.260042e-18 	 3.261660e-02 	 -1.401432e-18 
191 	 4.213257e-02 	 -3.140941e-18 	 -2.461033e-03 	 3.011003e-18 
192 	 4.573450e-02 	 9.126216e-19 	 -3.681741e-02 	 1.004560e-18 
193 	 5.938632e-03 	 7.600970e-19 	 -1.291894e-02 	 -3.373073e-19 
194 	 3.868621e-03 	 -1.662422e-18 	 -1.195974e-02 	 -6.987081e-19 
195 	 4.061718e-02 	 -7.998030e-19 	 -1.045926e-02 	 -6.779610e-19 
196 	 4.061718e-02 	 -7.998030e-19 	 -1.045926e-02 	 -6.779610e-19 
197 	 3.480747e-02 	 -4.553084e-18 	 -3.289083e-02 	 1.699253e-18 
198 	 3.607039e-02 	 9.364211e-19 	 4.817726e-03 	 -3.357011e-18 
199 	 3.607039e-02 	 9.364211e-19 	 4.817726e-03 	 -3.357011e-18 
200 	 3.341401e-02 	 -2.059064e-18 	 2.112694e-02 	 4.137034e-18 
201 	 3.341401e-02 	 -2.059064e-18 	 2.112694e-02 	 4.137034e-18 
202 	 1.839133e-02 	 -3.519391e-18 	 8.073569e-03 	 5.702100e-19 
203 	 1.839133e-02 	 -3.519391e-18 	 8.073569e-03 	 5.702100e-19 
204 	 2.248861e-02 	 -7.729803e-19 	 4.282776e-02 	 -4.454599e-18 
205 	 3.251652e-02 	 2.559860e-18 	 3.455030e-02 	 2.679050e-18 
206 	 1.645083e-02 	 -2.310518e-18 	 2.185604e-02 	 1.753463e-18 
207 	 3.006316e-02 	 4.979710e-18 	 1.232800e-02 	 -1.548669e-18 
208 	 3.006316e-02 	 4.979710e-18 	 1.232800e-02 	 -1.548669e-18 
209 	 3.006316e-02 	 4.979710e-18 	 1.232800e-02 	 -1.548669e-18 
210 	 3.472435e-02 	 -7.623087e-19 	 1.277372e-02 	 -1.380015e-18 
211 	 4.800897e-02 	 -5.411014e-18 	 -1.290861e-02 	 5.882801e-19 
212 	 9.859402e-02 	 6.126767e-19 	 -3.407413e-02 	 4.633291e-18 
